405	6	1511
1230	2	1536
189	2	1514
226	0	1578
191	6	1507
1359	7	1548
53	0	1582
55	3	1554
717	6	1507
225	6	1511
1113	0	1582
72	7	1547
1425	5	1603
1269	0	1582
491	3	1551
101	0	1597
441	3	1550
490	0	1582
80	5	1605
952	3	1554
181	1	1502
786	7	1549
1491	7	1547
1074	7	1548
835	2	1534
0	4	1557
498	7	1548
1494	0	1586
1337	0	1582
732	5	1603
1180	3	1553
195	5	1600
893	5	1605
1440	3	1553
167	0	1597
1193	0	1582
1317	1	1500
1036	0	1582
1127	7	1548
774	0	1582
391	7	1548
467	2	1525
681	2	1521
380	7	1548
222	5	1600
1129	6	1511
555	5	1603
743	1	1504
24	6	1511
289	7	1548
577	5	1603
459	2	1528
936	6	1511
537	4	1555
1252	0	1579
312	3	1552
1050	3	1552
214	1	1503
1094	0	1597
446	3	1551
386	3	1551
1403	7	1548
620	2	1537
641	0	1582
84	4	1559
1261	7	1548
268	5	1606
713	3	1551
513	2	1514
470	0	1582
1192	5	1603
898	5	1606
151	0	1582
1075	6	1508
1032	5	1605
711	3	1551
1121	3	1553
1427	1	1503
1016	4	1557
773	3	1553
1120	0	1595
321	7	1549
545	0	1595
1211	5	1607
944	7	1548
311	1	1504
81	5	1603
676	5	1604
90	5	1605
865	0	1582
345	5	1605
967	5	1605
153	5	1603
1249	2	1514
1309	0	1582
1186	7	1548
221	3	1553
1088	0	1582
417	3	1552
1154	1	1504
899	6	1507
967	7	1548
66	4	1557
1341	2	1540
1131	0	1582
941	4	1555
1320	1	1503
173	1	1504
80	3	1551
487	4	1557
1301	1	1500
821	0	1562
469	5	1603
1460	4	1561
1341	6	1507
956	6	1507
473	0	1582
861	6	1507
1403	1	1503
1477	5	1603
1337	5	1604
273	5	1606
800	5	1600
327	7	1548
753	4	1557
289	1	1503
624	5	1605
61	1	1503
161	7	1548
1396	3	1551
93	0	1582
191	7	1548
646	6	1509
202	6	1509
1182	4	1555
937	5	1605
497	3	1553
80	6	1507
635	0	1576
668	4	1561
655	4	1555
395	5	1604
1081	7	1547
283	5	1603
685	1	1503
1174	0	1593
48	3	1551
749	5	1605
1384	7	1548
60	7	1548
531	1	1504
437	1	1500
1315	7	1547
142	7	1547
1286	7	1548
546	7	1548
233	7	1548
688	7	1549
770	7	1546
930	1	1500
1073	1	1504
1460	3	1554
487	7	1548
1272	3	1551
1115	4	1557
853	7	1548
423	5	1603
641	2	1532
912	0	1582
860	7	1547
666	5	1603
736	5	1603
1051	3	1551
324	7	1548
252	6	1511
1029	7	1548
798	7	1548
770	2	1542
1091	3	1554
519	5	1605
793	0	1582
63	2	1517
1475	5	1603
154	1	1500
998	3	1551
1158	7	1547
889	0	1582
